datetime,card_id,name,affiliation,action,result,approved_listed
2025-11-21 09:33,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-11-21 10:12,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-11-24 09:33,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-11-24 09:55,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-11-26 09:30,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-11-26 10:05,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-11-28 09:15,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-11-28 09:46,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-12-01 09:33,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-12-01 09:54,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-12-03 09:31,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-12-03 10:17,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-12-05 09:11,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-12-05 10:00,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-12-08 09:37,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-12-08 10:23,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-12-10 09:08,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-12-10 09:46,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-12-12 09:13,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-12-12 10:03,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-12-15 09:20,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-12-15 10:15,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-12-17 09:25,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-12-17 10:10,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-12-19 09:07,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-12-19 09:55,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-12-22 09:11,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-12-22 09:55,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-12-24 09:07,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-12-24 09:32,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-12-26 09:01,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-12-26 09:56,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-12-29 09:29,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-12-29 10:07,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-12-31 09:00,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-12-31 09:52,C-0012,情シス 田口,情報システム部,OUT,OK,Y
